path,type,size,parent_directory
HW_Python\hw_01.py,file,3471,HW_Python
HW_Python\hw02,directory,2450,HW_Python
HW_Python\hw03,directory,4547,HW_Python
HW_Python\hw04,directory,1655,HW_Python
HW_Python\hw05,directory,2222,HW_Python
HW_Python\hw06,directory,4382,HW_Python
HW_Python\hw07,directory,1705,HW_Python
HW_Python\hw08,directory,2839,HW_Python
HW_Python\hw02\hw_01.py,file,630,HW_Python\hw02
HW_Python\hw02\hw_02.py,file,1820,HW_Python\hw02
HW_Python\hw03\hw01.py,file,600,HW_Python\hw03
HW_Python\hw03\hw02.py,file,2277,HW_Python\hw03
HW_Python\hw03\hw03.py,file,1670,HW_Python\hw03
HW_Python\hw04\hw01.py,file,488,HW_Python\hw04
HW_Python\hw04\hw02.py,file,805,HW_Python\hw04
HW_Python\hw04\hw03.py,file,362,HW_Python\hw04
HW_Python\hw05\hw01.py,file,907,HW_Python\hw05
HW_Python\hw05\hw02.py,file,872,HW_Python\hw05
HW_Python\hw05\hw03.py,file,443,HW_Python\hw05
HW_Python\hw06\hw01.py,file,998,HW_Python\hw06
HW_Python\hw06\hw02.py,file,1329,HW_Python\hw06
HW_Python\hw06\main.py,file,877,HW_Python\hw06
HW_Python\hw06\__init__.py,file,64,HW_Python\hw06
HW_Python\hw06\__pycache__,directory,1114,HW_Python\hw06
HW_Python\hw06\__pycache__\hw01.cpython-310.pyc,file,904,HW_Python\hw06\__pycache__
HW_Python\hw06\__pycache__\__init__.cpython-310.pyc,file,210,HW_Python\hw06\__pycache__
HW_Python\hw07\hw01.py,file,692,HW_Python\hw07
HW_Python\hw07\other_utils.py,file,294,HW_Python\hw07
HW_Python\hw07\__init__.py,file,42,HW_Python\hw07
HW_Python\hw07\__pycache__,directory,677,HW_Python\hw07
HW_Python\hw07\__pycache__\hw01.cpython-310.pyc,file,677,HW_Python\hw07\__pycache__
HW_Python\hw08\hw01.py,file,2839,HW_Python\hw08
